Official Name of Satellite,Country of Operator/Owner,Users,Purpose,Class of Orbit,Longitude of Geosynchronous Orbit (Degrees),Perigee (Kilometers),Apogee (Kilometers),Eccentricity,Inclination (Degrees),Period (Minutes),Launch Mass (Kilograms),Date of Launch,Expected Lifetime (Years),order,,,
ÑuSat-2 ,Argentina,Commercial,Earth Observation,LEO,0,482,500,0.00131,97.5,94.41,35,5/29/2016,,210,,,
Saudisat-2 ,Saudi Arabia,Government,Earth Observation,LEO,0,696,734,0.00268,97.9,99.1,35,6/29/2004,,211,,,
Rising-2,Japan,Civil,Earth Observation,LEO,0,625,630,0.000357,97.88,97.27,41,5/24/2014,,212,,,
DLR Tubsat,Germany,Government,Earth Science,LEO,0,712,732,0.00141,98.6,99.2,45,5/26/1999,1 yr.,213,,,
ORBCOMM FM-10,USA,Commercial,Communications,LEO,0,770,776,0.00042,45,100.3,45,12/23/1997,5,214,,,
ORBCOMM FM-11,USA,Commercial,Communications,LEO,0,769,777,0.00056,45,100.3,45,12/23/1997,5,215,,,
ORBCOMM FM-12,USA,Commercial,Communications,LEO,0,770,776,0.00042,45,100.3,45,12/23/1997,5,216,,,
ORBCOMM FM-13,USA,Commercial,Communications,LEO,0,788,795,0.000489,45,100.7,45,8/2/1998,5,217,,,
ORBCOMM FM-14,USA,Commercial,Communications,LEO,0,789,794,0.000349,45,100.7,45,8/2/1998,5,218,,,
ORBCOMM FM-15,USA,Commercial,Communications,LEO,0,788,795,0.000489,45,100.7,45,8/2/1998,5,219,,,
ORBCOMM FM-16,USA,Commercial,Communications,LEO,0,789,794,0.000349,45,100.7,45,8/2/1998,5,220,,,
ORBCOMM FM-18,USA,Commercial,Communications,LEO,0,787,796,0.000628,45,100.7,45,8/2/1998,5,221,,,
ORBCOMM FM-19,USA,Commercial,Communications,LEO,0,788,795,0.000489,45,100.7,45,8/2/1998,5,222,,,
ORBCOMM FM-20,USA,Commercial,Communications,LEO,0,791,792,6.98E-05,45,100.7,45,8/2/1998,5,223,,,
ORBCOMM FM-21,USA,Commercial,Communications,LEO,,810,822,0.000835,45,101.21,45,9/23/1998,5,224,,,
ORBCOMM FM-23,USA,Commercial,Communications,LEO,0,788,794,0.000419,45,100.7,45,9/23/1998,5,225,,,
ORBCOMM FM-27,USA,Commercial,Communications,LEO,0,790,792,0.00014,45,100.7,45,9/23/1998,5,226,,,
ORBCOMM FM-30,USA,Commercial,Communications,LEO,0,788,796,0.000559,45,100.7,45,12/4/1999,5,227,,,
ORBCOMM FM-31,USA,Commercial,Communications,LEO,0,788,795,0.000489,45,100.7,45,12/4/1999,5,228,,,
ORBCOMM FM-32,USA,Commercial,Communications,LEO,0,786,796,0.000698,45,100.7,45,12/4/1999,5,229,,,
ORBCOMM FM-34,USA,Commercial,Communications,LEO,0,787,796,0.000628,45,100.7,45,12/4/1999,5,230,,,
ORBCOMM FM-35,USA,Commercial,Communications,LEO,0,788,795,0.000489,45,100.7,45,12/4/1999,5,231,,,
ORBCOMM FM-36,USA,Commercial,Communications,LEO,0,788,795,0.000489,45,100.7,45,12/4/1999,5,232,,,
ORBCOMM FM-4,USA,Commercial,Communications,LEO,0,768,838,0.00488,108,100.9,45,2/10/1998,5,233,,,
ORBCOMM FM-5,USA,Commercial,Communications,LEO,0,772,774,0.00014,45,100.3,45,12/23/1997,5,234,,,
ORBCOMM FM-6,USA,Commercial,Communications,LEO,0,772,774,0.00014,45,100.3,45,12/23/1997,5,235,,,
ORBCOMM FM-7,USA,Commercial,Communications,LEO,0,771,774,0.00021,45,100.3,45,12/23/1997,5,236,,,
ORBCOMM FM-8,USA,Commercial,Communications,LEO,0,768,778,0.0007,45,100.3,45,12/23/1997,5,237,,,
ORBCOMM FM-9,USA,Commercial,Communications,LEO,0,769,777,0.00056,45,100.3,45,12/23/1997,5,238,,,
Yubileiny,Russia,Civil,Technology Development,LEO,0,1479,1508,0.00184,82.5,115.8,45,5/23/2008,,239,,,
Falconsat-3,USA,Military/Civil,Technology Development,LEO,0,538,540,0.000145,35.4,95.4,46,3/9/2007,,240,,,
Maroc Tubsat,Morocco/Germany,Government,Technology Development,LEO,0,984,1014,0.00204,99.2,105.1,47,12/10/2001,3-Feb,241,,,
SOCRATES,Japan,Commercial,Technology Development,LEO,0,618,629,0.000786,97.87,97.17,48,5/24/2014,,242,,,
Qsat-EOS,Japan,Civil,Earth Observation,LEO,0,506,553,0.00341,97.47,95.23,49,11/6/2014,,243,,,
TSUBAME,Japan,Civil,Earth Observation,LEO,0,505,569,0.00463,97.47,95.38,49,11/6/2014,,244,,,
ChubuSat 1,Japan,Civil,Technology Development,LEO,0,506,538,0.00232,97.48,95.07,50,11/6/2014,,245,,,
ChubuSat 2,Japan,Civil,Technology Development,LEO,0,560,579,0.00137,31,96.05,50,2/17/2016,,246,,,
ChubuSat 3,Japan,Civil,Technology Development,LEO,0,558,579,0.00151,31,96,50,2/17/2016,,247,,,
SDS-4,Japan,Government,Technology Development,LEO,0,661,673,0.000853,98.2,98.1,50,5/17/2012,2,248,,,
SOHLA 1,Japan,Civil,Technology Development,LEO,0,657,665,0.000569,98.1,98,50,1/23/2009,,249,,,
SpinSat,USA,Military,Technology Development,LEO,0,406,419,0.000958,51.65,92.81,50,11/28/2014,,250,,,
UNIFORM 1,Japan,Civil,Earth Observation,LEO,0,622,629,0.0005,97.87,97.2,50,5/24/2014,,251,,,
AIST-2,Russia,Civil,Technology Development,LEO,0,558,582,0.00173,64.88,96.06,53,4/19/2013,3,252,,,
Microvariability & Oscillations of Stars (MOST),Canada,Government,Space Science,LEO,0,817,832,0.00104,98.7,101.4,53,6/30/2003,1 yr.,253,,,
USA 222,USA,Civil,Technology Development,LEO,0,627,654,0.00193,71.97,97.54,55,11/20/2010,,254,,,
LQSat,China,Commercial,Earth Observation,LEO,0,640,663,0.00164,98.04,97.77,55,10/7/2015,,255,,,
Hodoyoshi-3,Japan,Government,Technology Development,LEO,0,613,666,0.00378,97.98,97.51,60,6/19/2014,,256,,,
Hodoyoshi-4,Japan,Government,Technology Development,LEO,0,613,650,0.00264,97.99,97.35,60,6/19/2014,,257,,,
LAPAN-Tubsat,Indonesia,Government,Earth Observation/Technology Development,LEO,0,617,637,0.00143,97.7,97.2,60,1/10/2007,,258,,,
XW-1,China,Civil,Communications,LEO,0,1193,1205,0.000793,100.3,109.4,60,12/15/2009,,259,,,
Mozhayets 4,Russia,Civil,Technology Development,LEO,0,669,690,0.00149,97.8,98.3,64,9/27/2003,,260,,,
Hodoyoshi-1,Japan,Government,Earth Observation,LEO,0,506,525,0.00138,97.48,94.93,65,11/6/2014,,261,,,
Tiantuo-2,China,Government,Earth Observation/Communications,LEO,0,477,493,0.00117,97.42,94.31,67,9/8/2014,,262,,,
LAPAN A2,Indonesia,Government,Earth Observation,LEO,0,631,650,0.00136,6,97.53,68,9/24/2015,,263,,,
COSMIC-A,Taiwan/USA,Government/Civil,Earth Observation,LEO,0,764,836,0.00502,72,100.9,70,4/15/2006,2,264,,,
COSMIC-B,Taiwan/USA,Government/Civil,Earth Observation,LEO,0,769,831,0.00432,72,100.9,70,4/15/2006,2,265,,,
COSMIC-D,Taiwan/USA,Government/Civil,Earth Observation,LEO,0,669,746,0.00544,72,98.9,70,4/15/2006,2,266,,,
COSMIC-E,Taiwan/USA,Government/Civil,Earth Observation,LEO,0,751,849,0.00683,72,100.9,70,4/15/2006,2,267,,,
COSMIC-F,Taiwan/USA,Government/Civil,Earth Observation,LEO,0,772,828,0.00391,72,100.9,70,4/15/2006,2,268,,,
INnovative technology Demonstration EXperiment satellite (INDEX),Japan,Government,Technology Development,LEO,0,595,638,0.00308,98,97,70,8/23/2005,,269,,,
NEOSSat,Canada,Government,Space Observation,LEO,0,772,786,0.000979,98.6,100.4,74,2/25/2013,,270,,,
Kent Ridge 1,Singapore,Civil,Earth Observation,LEO,0,534,551,0.00123,14.98,95.49,78,12/16/2015,,271,,,
M3MSat,Canada,Government,Earth Observation,LEO,0,501,515,0.00102,97.5,94.7,85,6/22/2016,,272,,,
Deimos 1,Spain,Government,Earth Observation,LEO,0,661,662,7.11E-05,98,98,90,7/29/2009,5,273,,,
SkySat-2,USA,Commercial,Earth Observation,LEO,0,626,634,0.000571,98.4,97.31,90,7/8/2014,,274,,,
CBNT-1,United Kingdom,Commercial,Technology Development,LEO,0,636,658,0.00157,98,97.66,91,7/10/2015,,275,,,
X-Sat,Singapore,Government,Earth Observation,LEO,0,801,823,0.00153,98.7,101.1,91,4/20/2011,3,276,,,
Bispectral InfraRed Detector 2 (Bird 2),Germany,Government/Civil,Earth Observation/Technology Development,LEO,0,500,521,0.00153,97.9,94.8,92,10/22/2001,1.5,277,,,
Youthsat,India,Government,Space Science,LEO,0,802,824,0.00153,98.7,101.2,92,4/20/2011,2,278,,,
STSat-2C,South Korea,Government,Technology Development,LEO,0,298,1482,0.0815,80.28,102.77,93,1/30/2013,2,280,,,
Lingqiao-A,China,Commercial,Earth Observation,LEO,0,639,664,0.00178,98.04,97.75,95,10/7/2015,,281,,,
Lingqiao-B,China,Commercial,Earth Observation,LEO,0,639,663,0.00171,98.04,97.74,95,10/7/2015,,282,,,
UK-DMC-2,United Kingdom,Government,Earth Observation,LEO,0,660,662,0.000142,98,98,97,7/29/2009,5,283,,,
Chuangxin 1-1,China,Government,Communications,LEO,0,729,748,0.00134,98.5,99.6,100,10/21/2003,,284,,,
Chuangxin 1-3,China,Government,Earth Observation,LEO,0,784,804,0.0014,98.5,100.7,100,11/20/2011,,285,,,
Chuangxin 1-4,China,Government,Earth Observation,LEO,0,778,809,0.00216,98.46,100.74,100,9/4/2014,,286,,,
exactView 1,Canada,Commercial,Communications,LEO,0,806,821,0.00104,99,101.2,100,7/22/2012,,287,,,
Ling Qiao,China,Commercial,Technology Development,LEO,0,779,808,0.00202,98.47,100.73,100,9/4/2014,,288,,,
Nigeriasat-X,Nigeria,Government,Earth Observation/Technology Development,LEO,0,661,696,0.00248,98.2,98.3,100,8/17/2011,,289,,,
Project for On-Board Autonomy (Proba 1),ESA,Government,Technology Demonstration,LEO,0,553,676,0.00881,97.9,96.98,100,10/22/2001,2,290,,,
Saudisat-4,Saudi Arabia,Government,Space Science,LEO,0,613,682,0.00492,97.98,97.68,100,6/19/2014,,291,,,
Chuangxin 1-2,China,Government,Earth Observation,LEO,0,785,804,0.00133,98.5,98.5,101,11/5/2008,,292,,,
MKA-FKI-1,Russia,Government,Earth Observation,LEO,0,805,821,0.00111,98.9,101.2,110,7/22/2012,3,293,,,
SCD-1,Brazil,Government,Earth Observation,LEO,0,716,776,0.00422,25,99.7,110,2/9/1993,3,294,,,
SCD-2,Brazil,Government,Earth Observation,LEO,,735,760,0.00176,25,99.8,110,10/23/1998,3,295,,,
SkySat-3,USA,Commercial,Earth Observation,LEO,0,500,515,0.00109,97.5,94.78,110,6/22/2016,,296,,,
RASAT,Turkey,Government,Earth Observation,LEO,0,667,697,0.00213,98.2,98.4,113,8/17/2011,3,297,,,
LAPAN A3,Indonesia,Government,Earth Observation,LEO,0,501,517,0.00116,97.5,94.8,115,6/22/2016,,298,,,
VNREDSat 1A,Vietnam,Government,Earth Observation,LEO,0,682,685,0.000213,98.13,98.43,115,5/7/2013,5,299,,,
SPIRALE-A,France,Military,Technology Development,Elliptical,0,240,31342,0.702,2,547,117,2/11/2009,,300,,,
SPIRALE-B,France,Military,Technology Development,Elliptical,0,389,17480,0.558,2.1,314,117,2/11/2009,,301,,,
SSOT,Chile,Government/Military,Earth Observation,LEO,0,622,624,0.000143,98,97.2,117,12/17/2011,,302,,,
ELISA-E12,France,Military,Earth Observation,LEO,0,675,692,0.00121,98.21,98.43,120,12/17/2011,,303,,,
ELISA-E24,France,Military,Earth Observation,LEO,0,675,692,0.00121,98.21,98.43,120,12/17/2011,,304,,,
ELISA-W11,France,Military,Earth Observation,LEO,0,677,692,0.00106,98.21,98.45,120,12/17/2011,,305,,,
ELISA-W23,France,Military,Earth Observation,LEO,0,677,692,0.00106,98.21,98.46,120,12/17/2011,,306,,,
TET-1,Germany,Commercial,Technology Development,LEO,0,501,505,0.000291,97.5,94.7,120,7/22/2012,1 yr.,307,,,
Velox C1,Singapore,Civil,Technology Development,LEO,0,533,550,0.00123,14.98,95.48,123,12/16/2015,,308,,,
THEMIS A,Multinational,Government/Civil,Space Science,Elliptical,0,461,87304,0.864,15.7,1868.98,126,2/17/2007,2,309,,,
THEMIS D,Multinational,Government/Civil,Space Science,Elliptical,0,467,87260,0.864,15.7,1867.91,126,2/17/2007,2,310,,,
THEMIS E,Multinational,Government/Civil,Space Science,Elliptical,0,474,87526,0.864,15.7,1875.53,126,2/17/2007,2,311,,,
Alsat-2A,Algeria,Government,Earth Observation,LEO,0,672,674,0.000142,98.1,98.2,130,7/12/2010,5,312,,,
BIROS,Germany,Government,Earth Observation,LEO,0,500,517,0.00124,97.5,94.7,130,6/22/2016,,313,,,
Kaituo-1A,China,Government,Technology Development,LEO,0,518,536,0.0013,97.46,95.18,130,9/19/2015,,314,,,
Project for On-Board Autonomy (Proba 2),ESA,Government,Technology Demonstration,LEO,0,708,728,0.00141,98.3,99.2,130,11/2/2009,2,315,,,
STPSat-3,USA,Military,Technology Development,LEO,0,497,507,0.000728,40.51,94.66,137,11/19/2013,3,316,,,
Proba V,ESA,Government,Earth Observation,LEO,0,813,820,0.000487,98.73,101.21,140,5/7/2013,2.5,317,,,
Sapphire,Canada,Military,Space Observation,LEO,0,772,787,0.00105,132.98,100.4,148,2/25/2013,5,318,,,
Scisat-1,Canada,Government,Space Science,LEO,0,638,649,0.000784,73.9,97.6,150,8/12/2003,,319,,,
STSat-3,South Korea,Government,Technology Development,LEO,0,593,626,0.00236,97.81,96.88,150,11/21/2013,2,320,,,
TechDemoSat-1,United Kingdom,Government,Technology Development,LEO,0,625,631,0.000429,98.4,97.27,150,7/8/2014,,321,,,
CFESat,USA,Government,Technology Development,LEO,0,538,544,0.000434,35.4,95.5,159,3/9/2007,,322,,,
Fengniao 1A,China,Government,Technology Development,LEO,0,488,500,0.000874,97.35,94.49,160,11/20/2012,,323,,,
BeijinGalaxy-1,China,Civil,Earth Observation,LEO,0,681,703,0.00156,97.9,98.6,166,10/27/2005,7,324,,,
Sinah-1,Iran,Government,Communications,LEO,0,681,703,0.00156,97.9,98.6,170,10/27/2005,3,325,,,
ORBCOMM FM-103,USA,Commercial,Communications,LEO,0,620,741,0.00858,47,98.36,172,7/14/2014,5,326,,,
ORBCOMM FM-104,USA,Commercial,Communications,LEO,0,619,741,0.00865,47,98.36,172,7/14/2014,5,327,,,
ORBCOMM FM-105,USA,Commercial,Communications,LEO,0,614,658,0.00314,47,97.44,172,12/22/2015,5,328,,,
ORBCOMM FM-106,USA,Commercial,Communications,LEO,0,620,740,0.00851,47,98.34,172,7/14/2014,5,329,,,
ORBCOMM FM-107,USA,Commercial,Communications,LEO,0,620,739,0.00844,47,98.34,172,7/14/2014,5,330,,,
ORBCOMM FM-108,USA,Commercial,Communications,LEO,0,614,657,0.00307,47,97.42,172,12/22/2015,5,331,,,
ORBCOMM FM-109,USA,Commercial,Communications,LEO,0,620,739,0.00844,47,98.34,172,7/14/2014,5,332,,,
ORBCOMM FM-110,USA,Commercial,Communications,LEO,0,615,658,0.00307,47,97.44,172,12/22/2015,5,333,,,
ORBCOMM FM-111,USA,Commercial,Communications,LEO,0,619,740,0.00858,47,98.35,172,7/14/2014,5,334,,,
ORBCOMM FM-112,USA,Commercial,Communications,LEO,0,614,657,0.00307,47,97.43,172,12/22/2015,5,335,,,
ORBCOMM FM-113,USA,Commercial,Communications,LEO,0,614,656,0.003,47,97.41,172,12/22/2015,5,336,,,
ORBCOMM FM-114,USA,Commercial,Communications,LEO,0,614,658,0.00314,47,97.43,172,12/22/2015,5,337,,,
ORBCOMM FM-115,USA,Commercial,Communications,LEO,0,613,655,0.003,47,97.39,172,12/22/2015,5,338,,,
ORBCOMM FM-116,USA,Commercial,Communications,LEO,0,614,654,0.00286,47,97.4,172,12/22/2015,5,339,,,
ORBCOMM FM-117,USA,Commercial,Communications,LEO,0,614,656,0.003,47,97.42,172,12/22/2015,5,340,,,
ORBCOMM FM-118,USA,Commercial,Communications,LEO,0,615,658,0.00307,47,97.44,172,12/22/2015,5,341,,,
ORBCOMM FM-119,USA,Commercial,Communications,LEO,0,614,658,0.00314,47,97.43,172,12/22/2015,5,342,,,
RapidEye-1,Germany,Commercial,Earth Observation,LEO,0,613,646,0.00236,97.9,97.3,175,8/29/2008,7,343,,,
RapidEye-2,Germany,Commercial,Earth Observation,LEO,0,621,638,0.00121,97.9,97.3,175,8/29/2008,7,344,,,
RapidEye-3,Germany,Commercial,Earth Observation,LEO,0,621,637,0.00114,97.9,97.3,175,8/29/2008,7,345,,,
RapidEye-4,Germany,Commercial,Earth Observation,LEO,0,621,638,0.00121,97.9,97.3,175,8/29/2008,7,346,,,
RapidEye-5,Germany,Commercial,Earth Observation,LEO,0,617,642,0.00179,97.9,97.3,175,8/29/2008,7,347,,,
USA 217,USA,Military,Technology Development,LEO,0,650,650,0,72,97.73,180,11/20/2010,1 yr.,348,,,
KazEOSat-2,Kazakhstan,Government,Earth Observation,LEO,0,612,636,0.00172,97.99,97.19,185,6/19/2014,7,349,,,
Chuangzin-3,China,Government,Technology Development,LEO,0,665,672,0.000497,98.03,96.43,200,7/19/2013,,350,,,
DubaiSat-1,United Arab Emirates,Government,Earth Observation,LEO,0,662,680,0.00128,98,98.2,200,7/29/2009,5,351,,,
Saudisat-3,Saudi Arabia,Government,Earth Observation,LEO,0,656,677,0.00149,97.8,98.1,200,4/17/2007,,352,,,
Shiyan 1,China,Government,Earth Observation,LEO,0,586,601,0.00108,97.5,96.6,204,4/18/2004,,353,,,
Shiyan 5,China,Government,Earth Observation,LEO,0,739,755,0.00112,97.9,99.7,204,11/25/2013,,354,,,
AIM,USA,Government,Earth Observation,LEO,0,544,552,0.000578,97.9,96.2,215,4/25/2007,2,355,,,
Fast On-orbit Recording of Transient Events) FORTÉ ,USA,Government,Earth Observation,LEO,0,790,823,0.0023,70,101,215,8/29/1997,3,356,,,
Cosmos 2416,Russia,Military,Communications,LEO,0,1436,1448,0.000768,82.5,114.7,225,12/21/2005,,357,,,
Cosmos 2467,Russia,Military,Communications,LEO,0,1493,1496,0.000191,82.5,115.9,225,9/8/2010,3,358,,,
Cosmos 2468,Russia,Military,Communications,LEO,0,1484,1505,0.00134,82.5,115.9,225,9/8/2010,3,359,,,
Cosmos 2385,Russia,Military,Communications,LEO,0,1417,1425,0.000513,82.5,114.2,225,12/27/2001,3,360,,,
Cosmos 2386,Russia,Military,Communications,LEO,0,1415,1419,0.000257,82.5,114.2,225,12/27/2001,3,361,,,
Cosmos 2390,Russia,Military,Communications,LEO,0,1468,1506,0.00242,8.5,115.7,225,7/8/2002,3,362,,,
Cosmos 2391,Russia,Military,Communications,LEO,0,1466,1506,0.00255,82.5,115.7,225,7/8/2002,3,363,,,
Cosmos 2400,Russia,Military,Communications,LEO,0,1467,1503,0.00229,82.5,115.7,225,8/19/2003,3,364,,,
Cosmos 2401,Russia,Military,Communications,LEO,0,1465,1502,0.00236,82.5,115.6,225,8/19/2003,3,365,,,
Cosmos 2408,Russia,Military,Communications,LEO,0,1471,1495,0.00153,82.5,115.5,225,9/23/2004,3,366,,,
Cosmos 2409,Russia,Military,Communications,LEO,0,1474,1495,0.00134,82.5,115.6,225,9/23/2004,3,367,,,
Astrosat,India,Government,Space Science,LEO,0,632,649,0.00121,5.99,97.54,230,9/28/2015,5,368,,,
IRIS,USA,Government,Space Science,LEO,0,620,664,0.00314,97.9,97.5,236,6/28/2013,2,369,,,
EROS A-1,Israel,Military/Commercial,Earth Observation,LEO,0,466,477,0.000804,97.56,95.4,240,12/5/2000,6,370,,,
Gonets D1-14,Russia,Commercial/Government,Communications,LEO,0,1407,1413,0.000386,82.5,114,240,2/19/1996,3,371,,,
Odin,Sweden,Government,Earth Observation,LEO,0,569,573,0.000288,97.6,96.1,250,2/20/2001,2,372,,,
Cosmos 2482,Russia,Military,Communications,LEO,0,1473,1516,0.00273,82.5,115.86,250,1/15/2013,5,373,,,
Cosmos 2483,Russia,Military,Communications,LEO,0,1473,1516,0.00273,82.5,115.86,250,1/15/2013,5,374,,,
Cosmos 2484,Russia,Military,Communications,LEO,0,1475,1514,0.00248,82.5,115.86,250,1/15/2013,5,375,,,
Relek,Russia ,Government,Earth Observation,LEO,0,623,819,0.0138,98.38,99.22,253,7/8/2014,,376,,,
Gonets M-03,Russia,Commercial/Government,Communications,LEO,0,1478,1510,0.00203,82.5,115.9,270,7/28/2012,7-May,377,,,
Gonets M-04,Russia,Commercial/Government,Communications,LEO,0,1480,1511,0.00197,82.5,115.9,270,7/28/2012,7-May,378,,,
Gonets M-05,Russia,Commercial/Government,Communications,LEO,0,1497,1510,0.000826,82.5,116.1,270,9/8/2010,7-May,379,,,
Gonets M-14,Russia,Commercial/Government,Communications,LEO,0,1482,1507,0.00159,82.49,115.86,270,9/11/2013,7-May,380,,,
Gonets M-16,Russia,Commercial/Government,Communications,LEO,0,1493,1508,0.000953,82.49,116,270,9/11/2013,7-May,381,,,
Gonets M-17,Russia,Commercial/Government,Communications,LEO,0,1494,1509,0.000953,92.49,116.02,270,9/11/2013,7-May,382,,,
Gonets M-11,Russia,Commercial/Government,Communications,LEO,0,1497,1508,0.000699,82.4,116,280,3/31/2015,7-May,383,,,
Gonets M-12,Russia,Commercial/Government,Communications,LEO,0,1494,1506,0.000762,82.4,116,280,3/31/2015,7-May,384,,,
Gonets M-13,Russia,Commercial/Government,Communications,LEO,0,1171,1504,0.0216,82.4,116,280,3/31/2015,7-May,385,,,
Gonets M-18,Russia,Commercial/Government,Communications,LEO,0,1479,1510,0.00197,82.52,115.87,280,7/3/2014,7-May,386,,,
Gonets M-19,Russia,Commercial/Government,Communications,LEO,0,1480,1512,0.00203,82.51,115.89,280,7/3/2014,7-May,387,,,
Gonets M-20,Russia,Commercial/Government,Communications,LEO,0,1478,1509,0.00197,82.51,115.84,280,7/3/2014,7-May,388,,,
Cosmos 2437,Russia,Military,Communications,LEO,0,1480,1511,0.00197,82.5,115.9,280,5/23/2008,5,389,,,
Cosmos 2438,Russia,Military,Communications,LEO,0,1477,1509,0.00203,82.5,115.8,280,5/23/2008,5,390,,,
Cosmos 2439,Russia,Military,Communications,LEO,0,1478,1510,0.00203,82.5,115.8,280,5/23/2008,5,391,,,
Cosmos 2451,Russia,Military,Communications,LEO,0,1498,1509,0.000699,82.5,116,280,7/6/2009,5,392,,,
Cosmos 2453,Russia,Military,Communications,LEO,0,1495,1506,0.000699,82.5,116,280,7/6/2009,5,393,,,
Cosmos 2481,Russia,Military,Communications,LEO,0,1481,1512,0.00197,82.5,115.9,280,7/28/2012,5,394,,,
Cosmos 2488,Russia,Military,Communications,LEO,0,1478,1509,0.00197,82.5,115.9,280,12/25/2013,5,395,,,
Cosmos 2489,Russia,Military,Communications,LEO,0,1477,1507,0.00191,82.5,115.8,280,12/25/2013,5,396,,,
Cosmos 2490,Russia,Military,Communications,LEO,0,1482,1511,0.00184,82.5,115.8,280,12/25/2013,5,397,,,
Cosmos 2496,Russia,Military,Communications,LEO,0,1480,1511,0.00197,82.44,115.88,280,5/23/2014,5,398,,,
Cosmos 2497,Russia,Military,Communications,LEO,0,1478,1510,0.00203,82.45,115.85,280,5/23/2014,5,399,,,
Cosmos 2498,Russia,Military,Communications,LEO,0,1477,1509,0.00203,82.44,115.82,280,5/23/2014,5,400,,,
Cosmos 2507,Russia,Military,Communications,LEO,0,1497,1506,0.000572,82.5,116.01,280,9/23/2015,5,401,,,
Cosmos 2508,Russia,Military,Communications,LEO,0,1496,1504,0.000508,82.49,115.99,280,9/23/2015,5,402,,,
Cosmos 2509,Russia,Military,Communications,LEO,0,1498,1508,0.000635,82.49,116.04,280,9/23/2015,5,403,,,
RHESSI (Reuven Ramaty High Energy Solar Spectroscopic Imager),USA,Government/Civil,Space Science,LEO,0,535,551,0.00116,38,95.5,293,2/5/2002,3,404,,,
DubaiSat-2,United Arab Emirates,Government,Earth Observation,LEO,0,585,603,0.00129,97.8,96.56,300,11/21/2013,5,405,,,
MICROSCOPE,ESA,Government,Space Science,LEO,0,711,715,0.000282,98.23,99,300,4/25/2016,1 yr.,406,,,
NigeriaSat-2,Nigeria,Government,Earth Observation,LEO,0,691,705,0.00099,98.2,98.7,300,8/17/2011,7,407,,,
Ofeq 10,Israel,Military,Earth Observation,LEO,0,385,601,0.0157,140.94,94.47,300,4/9/2014,5,408,,,
Ofeq 5,Israel,Military,Earth Observation,LEO,0,367,764,0.0286,143.4,95.97,300,5/28/2002,4,409,,,
Ofeq 7,Israel,Military,Earth Observation,LEO,0,340,576,0.0173,141.76,93.75,300,6/10/2007,5,410,,,
Ofeq 9,Israel,Military,Earth Observation,LEO,0,343,589,0.018,141.78,93.91,300,6/22/2010,5,411,,,
Shiyan 3,China,Government,Earth Observation,LEO,0,785,803,0.00126,98.5,100.8,300,11/5/2008,,412,,,
Shiyan 4,China,Government,Earth Observation,LEO,0,784,802,0.00126,98.4,100.7,300,11/20/2011,,413,,,
TecSAR,Israel,Military,Earth Observation,LEO,0,405,580,0.0128,41.03,94.5,300,1/21/2008,,414,,,
Deimos 2,Spain,Government,Earth Observation,LEO,0,597,619,0.00158,97.99,96.85,310,6/19/2014,10,415,,,
SOlar Radiation and Climate Experiment (SORCE),USA,Government/Civil,Space Science,LEO,0,600,633,0.00236,40,97,315,1/25/2003,6,416,,,
Hisaki,Japan,Government,Space Science,Elliptical,0,952,1155,0.0137,31,106.27,348,9/14/2013,1 yr.,417,,,
EROS B-1,Israel,Military/Commercial,Earth Observation,LEO,0,508,514,0.000436,97.4,94.8,350,4/25/2006,10,418,,,
USA 225,USA,Military,Technology Development,LEO,0,1199,1202,0.000198,90,109.42,350,2/6/2011,,419,,,
NuSTAR,USA,Government,Space Science,LEO,0,613,632,0.00136,6,97.2,360,6/13/2012,2,420,,,
BKA 2,Belarus,Government,Earth Observation,LEO,0,503,507,0.000291,97.5,94.7,400,7/22/2012,5,421,,,
Canopus-B,Russia,Government,Earth Observation,LEO,0,501,505,0.000291,97.5,94.7,400,7/22/2012,5,422,,,
Jilin-1,China,Commercial,Earth Observation,LEO,0,638,662,0.00171,98.05,97.73,400,10/7/2015,,423,,,
TeLEOS 1,Singapore,Commercial,Earth Observation,LEO,0,535,550,0.00108,15,95.5,400,12/16/2015,5,424,,,
SARAL,India/France,Government,Earth Observation,LEO,0,782,785,0.00021,98.5,100.53,407,2/25/2013,5,425,,,
Göktürk 2,Turkey,Military,Earth Observation,LEO,0,669,690,0.00149,98.16,98.35,409,12/18/2012,5,426,,,
DMC 3-1,United Kingdom,Commercial,Earth Observation,LEO,0,636,663,0.00192,98,97.71,447,7/10/2015,10,427,,,
DMC 3-2,United Kingdom,Commercial,Earth Observation,LEO,0,636,663,0.00192,98,97.71,447,7/10/2015,10,428,,,
DMC 3-3,United Kingdom,Commercial,Earth Observation,LEO,0,636,661,0.00178,98,97.69,447,7/10/2015,10,429,,,
Globalstar FM4,USA,Commercial,Communications,LEO,0,1407,1412,0.000321,52,114,450,2/14/1998,10,430,,,
Globalstar FM8,USA,Commercial,Communications,LEO,0,1413,1415,0.000128,52,114.1,450,4/24/1998,10,431,,,
Globalstar M023,USA,Commercial,Communications,LEO,0,1406,1422,0.00103,52,114.1,450,2/9/1999,10,432,,,
Globalstar M026,USA,Commercial,Communications,LEO,0,1412,1416,0.000257,52,114.1,450,7/25/1999,10,433,,,
Globalstar M027,USA,Commercial,Communications,LEO,0,1412,1415,0.000193,52,114.1,450,8/17/1999,10,434,,,
